policy_id,customer_id,policy_type,premium,coverage_amount,deductible,policy_start_date,policy_end_date,policy_status,first_name,last_name,age,gender,marital_status,region,income,credit_score,employment_status,engagement_score,mobile_app_logins,response_time_minutes,risk_zone,past_claim_count,past_claim_amount_total,max_severity,last_claim_date,days_since_last_claim,driving_score,bmi,smoker_flag,property_risk_index,raw_text,sentiment_score,will_file_claim
1,1,Auto,120.0,50000.0,500.0,2023-01-10,,Active,Alice,Chen,32,Female,Single,New York,86291.9991891132,715,Employed,75,22,45,2,2,4700.0,3.0,2024-06-10,205.0,79.50054338045923,24.21949384312523,0,4,Theft incident reported in neighborhood,0.07751248363860834,1
2,2,Home,95.0,350000.0,1000.0,2022-05-01,,Active,Bob,Martinez,45,Male,Married,California,114426.33223650919,660,Employed,82,18,30,1,1,12000.0,5.0,2024-05-18,228.0,69.17710530641725,24.205621478578458,0,2,Car vandalized overnight,0.003485115736591125,1
3,3,Auto,140.0,60000.0,750.0,2023-03-15,,Active,Carol,Wong,29,Female,Single,Texas,59286.66301270516,658,Self-Employed,60,5,120,3,1,8000.0,4.0,2024-03-21,286.0,73.90398948332003,28.451773629396204,0,2,Windshield cracked by falling debris,0.0038119113840787127,0
4,4,Life,200.0,250000.0,0.0,2020-07-20,,Active,Daniel,Kim,52,Male,Married,Illinois,130824.41436706066,785,Employed,88,25,20,1,0,0.0,1.0,,9999.0,98.02743662913522,15.520318532053214,0,1,Minor accident but resolved quickly,0.13267669440909005,1
5,5,Auto,110.0,45000.0,500.0,2022-11-11,,Active,Eva,Lopez,40,Female,Married,Florida,90690.77482610205,702,Employed,69,10,75,2,1,2200.0,2.0,2024-09-01,122.0,69.10930927525666,16.650493004921803,0,2,Water leak caused interior damage,-0.0611991033371585,0
6,6,Auto,175.0,40000.0,1000.0,2023-02-01,,Active,Frank,Ng,37,Male,Single,Washington,76296.79507021092,639,Unemployed,40,2,180,4,0,0.0,1.0,,9999.0,66.49480995025317,23.626274824554166,0,5,Severe collision with significant damage,0.4087848474697194,0
7,7,Home,130.0,500000.0,1500.0,2021-09-12,,Active,Grace,Patel,50,Female,Widowed,New Jersey,102983.43816730172,751,Employed,95,30,15,1,1,9000.0,4.0,2024-11-30,32.0,88.27275683615524,20.923013277993455,0,2,Car vandalized overnight,0.02047252609628118,1
8,8,Auto,105.0,30000.0,500.0,2023-05-01,,Active,Henry,Smith,28,Male,Single,Nevada,52653.66704272979,627,Student,55,8,200,3,0,0.0,1.0,,9999.0,79.80760666212912,28.885483995571644,0,4,Water leak caused interior damage,0.008434566266971633,1
9,9,Health,220.0,1000000.0,100.0,2019-10-01,,Active,Isabella,Rossi,34,Female,Married,Colorado,82257.85695422054,723,Employed,78,17,40,2,1,1500.0,2.0,2024-04-03,273.0,68.6447404174125,21.551855546872734,0,4,Severe collision with significant damage,0.3691838480361871,1
10,10,Auto,150.0,55000.0,750.0,2023-01-30,,Active,Jason,Liu,47,Male,Married,Massachusetts,110102.0026723254,736,Employed,65,11,90,2,1,5000.0,3.0,2025-01-12,-11.0,77.2692330162534,18.526177791988253,1,4,"Small scratch, almost no damage",-0.26461598246691437,1
1,1,Auto,120.0,50000.0,500.0,2023-01-10,,Active,Alice,Chen,32,Female,Single,New York,86892.77299784009,718,Employed,75,22,45,2,2,4700.0,3.0,2024-06-10,205.0,79.39462244992478,24.21949384312523,0,4,Theft incident reported in neighborhood,0.045624169477370746,0
2,2,Home,95.0,350000.0,1000.0,2022-05-01,,Active,Bob,Martinez,45,Male,Married,California,122636.76239371594,679,Employed,82,18,30,1,1,12000.0,5.0,2024-05-18,228.0,68.94641913751862,24.205621478578458,0,2,Car vandalized overnight,-0.00706465316030475,1
3,3,Auto,140.0,60000.0,750.0,2023-03-15,,Active,Carol,Wong,29,Female,Single,Texas,77362.98533641218,644,Self-Employed,60,5,120,3,1,8000.0,4.0,2024-03-21,286.0,77.32284689132679,28.451773629396204,0,2,Windshield cracked by falling debris,-0.0032030519266944553,1
4,4,Life,200.0,250000.0,0.0,2020-07-20,,Active,Daniel,Kim,52,Male,Married,Illinois,139283.94074806946,759,Employed,88,25,20,1,0,0.0,1.0,,9999.0,90.84135985020986,15.520318532053214,0,1,Minor accident but resolved quickly,0.16816132441085535,1
5,5,Auto,110.0,45000.0,500.0,2022-11-11,,Active,Eva,Lopez,40,Female,Married,Florida,90385.66591612104,717,Employed,69,10,75,2,1,2200.0,2.0,2024-09-01,122.0,69.60330363801515,16.650493004921803,0,2,Water leak caused interior damage,0.010398046534019309,1
6,6,Auto,175.0,40000.0,1000.0,2023-02-01,,Active,Frank,Ng,37,Male,Single,Washington,76676.40842239057,634,Unemployed,40,2,180,4,0,0.0,1.0,,9999.0,66.51182004022922,23.626274824554166,0,5,Severe collision with significant damage,0.4571138028770219,1
